Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Magnitude_Text,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source,Listing Methodology,DEC Use,DEC Use Description,Notes
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Aquaculture,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,400,400,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Aquaculture,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,20,20,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,40,40,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Industrial,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,400,400,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Industrial,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,28,28,CFU/100mL,Maximum,10% of samples,Water year average,Twelve-tube single dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,31,31,CFU/100mL,Maximum,10% of samples,Water year average,Membrane filtration test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,43,43,CFU/100mL,Maximum,10% of samples,Water year average,Five-tube decimal dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,49,49,CFU/100mL,Maximum,10% of samples,Water year average,Three-tube decimal dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Secondary Contact Recreation,,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,400,400,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Secondary Contact Recreation,,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,20,20,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean; for products not normally cooked,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Aquaculture,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,40,40,CFU/100mL,Maximum,10% of samples,Water year average,For products not normally cooked,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Aquaculture,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean; for products normally cooked,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Aquaculture,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,400,400,CFU/100mL,Maximum,10% of samples,Water year average,For products normally cooked,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Aquaculture,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,200,200,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Industrial,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,400,400,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Industrial,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,SEAFOOD PROCESSING,,20,20,CFU/100mL,Maximum,Not to exceed,30-day period,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Seafood Processing,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,SEAFOOD PROCESSING,,40,40,CFU/100mL,Maximum,10% of samples,Water year average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Water Supply,Seafood Processing,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,14,14,CFU/100mL,Maximum,Not to exceed,Water year average,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Freshwater,Color,Color,COLOR,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,50,50,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Color,Color,COLOR,,WATER RECREATION,CONTACT RECREATION,,15,15,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Freshwater,Color,Color,COLOR,,WATER SUPPLY,AQUACULTURE,,50,50,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Freshwater,Color,Color,COLOR,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,15,15,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Marine,Color,Color,COLOR,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,50,50,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,Color,Color,COLOR,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,50,50,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Color,Color,COLOR,,WATER RECREATION,CONTACT RECREATION,,15,15,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,Color,Color,COLOR,,WATER SUPPLY,AQUACULTURE,,50,50,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,Color,Color,COLOR,,WATER SUPPLY,SEAFOOD PROCESSING,,15,15,Color units,Maximum,Not to exceed,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Seafood Processing,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,17,17,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,5,5,mg/L,Minimum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,4,4,mg/L,Minimum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,4,4,mg/L,Minimum,10%,Daily average,,,CALM,Secondary Contact Recreation,,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,3,3,mg/L,Minimum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,7,7,mg/L,Minimum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Water Supply,Aquaculture,
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,4,4,mg/L,Minimum,10%,Daily average,Does not apply to lakes below thermocline or groundwater,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,4,4,mg/L,Minimum,10%,Daily average,At any depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,5,5,mg/L,Minimum,10%,Daily average,Estuaries and tidal tributaries,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,6,6,mg/L,Minimum,10%,Daily average,1m Depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,17,17,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,4,4,mg/L,Minimum,10%,Daily average,At any depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,5,5,mg/L,Minimum,10%,Daily average,Estuaries and tidal tributaries,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,6,6,mg/L,Minimum,10%,Daily average,1m Depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,17,17,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,4,4,mg/L,Minimum,10%,Daily average,At any depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,5,5,mg/L,Minimum,10%,Daily average,Estuaries and tidal tributaries,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,6,6,mg/L,Minimum,10%,Daily average,1m Depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,17,17,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Primary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,4,4,mg/L,Minimum,10%,Daily average,At any depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,5,5,mg/L,Minimum,10%,Daily average,Estuaries and tidal tributaries,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,6,6,mg/L,Minimum,10%,Daily average,1m Depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,17,17,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Secondary Contact Recreation,,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,4,4,mg/L,Minimum,10%,Daily average,At any depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,5,5,mg/L,Minimum,10%,Daily average,Estuaries and tidal tributaries,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,6,6,mg/L,Minimum,10%,Daily average,1m Depth,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,17,17,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,110,110,%,Maximum,10%,Daily average,,AK DEQ SWQS,CALM,Water Supply,Aquaculture,
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,250,250,mg/L,Maximum,Not to exceed,Daily average,Mean of most recent 3 years not to exceed,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,250,250,mg/L,Maximum,10%,Daily average,,,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,250,250,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,1000,1000,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,1000,1000,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,AQUACULTURE,,1000,1000,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,500,500,mg/L,Maximum,10%,Daily average,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",
Freshwater,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,6.5-8.5,6.5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,6.5-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",
Freshwater,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,6.5-8.5,6.5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Freshwater,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,6.5-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Primary Contact Recreation,,
Freshwater,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,5.0-9.0,5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Freshwater,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,5.0-9.0,9,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Secondary Contact Recreation,,
Freshwater,pH,pH,PH,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,5.0-9.0,5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,pH,pH,PH,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,5.0-9.0,9,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",
Freshwater,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,6.5-8.5,6.5,SU,Minimum,10%,Daily minimum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
Freshwater,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,6.5-8.5,8.5,SU,Maximum,10%,Daily maximum,,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,
