Waterbody Type,Constituent Group,Constituent,TADA.CharacteristicName,Fraction,Use,Use Description,Type,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source,Listing Methodology,DEC Use,DEC Use Description,Notes,AUID_ATTNS,Name_AU,TADA.MonitoringLocationTypeName,AU_Type,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency,Exceed_Num,Exceed_Freq,Exceed,Binomial_Value,Exceed_Binomial
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER RECREATION,SECONDARY RECREATION,NA,4,mg/L,Minimum,10%,Daily average,NA,NA,CALM,Secondary Contact Recreation,NA,NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER RECREATION,SECONDARY RECREATION,NA,4,mg/L,Minimum,10%,Daily average,NA,NA,CALM,Secondary Contact Recreation,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",NA,3,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",NA,3,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,AQUACULTURE,NA,7,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,AQUACULTURE,NA,7,mg/L,Minimum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,AQUACULTURE,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,Water Supply,Aquaculture,NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,AQUACULTURE,NA,110,%,Maximum,10%,Daily average,NA,AK DEQ SWQS,CALM,Water Supply,Aquaculture,NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,4,mg/L,Minimum,10%,Daily average,Does not apply to lakes below thermocline or groundwater,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,4,mg/L,Minimum,10%,Daily average,Does not apply to lakes below thermocline or groundwater,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,158,41,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,Not to exceed,Daily average,Mean of most recent 3 years not to exceed,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,DISSOLVED,51,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,9,No
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,10%,Daily average,NA,NA,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,DISSOLVED,51,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,9,No
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,RIVER/STREAM,River,MG/L,NA,6,4,1,2 years,10,2,10,No,No,No,Hardness dependency not applicable.,0,0,No,1,No
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,250,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,50,43,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,9,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,149,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,149,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,WATER SUPPLY,AQUACULTURE,NA,1000,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,Aquaculture,NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,149,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,NA,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",NA,500,mg/L,Maximum,10%,Daily average,NA,AK DEQ SWQS; criteria-search-tool-data.xlsx,CALM,Water Supply,"Drinking, Culinary, and Food Processing",NA,AK_R_1010504_005,Unuk River,STREAM,River,MG/L,NA,149,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,0,No,15,No
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Acute,750,ug/L,Maximum,1 in most recent 3 years,1-hour average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,UG/L,TOTAL RECOVERABLE,51,44,6,2 years,5,2,5,Yes,Yes,Yes,Hardness dependency not applicable.,13,NA,Yes,NA,Yes
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Chronic,87,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,UG/L,TOTAL RECOVERABLE,51,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,20,-Inf,Yes,6,Yes
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Chronic,87,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,UG/L,TOTAL RECOVERABLE,51,44,6,2 years,18,2,18,Yes,Yes,Yes,Hardness dependency not applicable.,20,-Inf,Yes,6,Yes
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",NA,5000,ug/L,Maximum,Not to exceed,Daily average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Water Supply,"Agriculture, Including Irrigation and Stock Watering",changed from 30-day average to daily average 4/29/25,AK_R_1010504_005,Unuk River,STREAM,River,UG/L,TOTAL RECOVERABLE,51,44,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,3,NA,Yes,NA,Yes
Freshwater,Toxics,Arsenic,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Acute,340,ug/L,Maximum,1 in most recent 3 years,1-hour average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,UG/L,DISSOLVED,42,37,6,2 years,5,2,5,Yes,Yes,Yes,Hardness dependency not applicable.,0,NA,No,NA,No
Freshwater,Toxics,Arsenic,ARSENIC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",NA,Chronic,150,ug/L,Maximum,>=2 exceedances and >5% exceedance frequency in 3 year period,96-hour arithmetic average,NA,AK Toxics Manual; criteria-search-tool-data.xlsx,CALM,Aquatic Life,NA,NA,AK_R_1010504_005,Unuk River,STREAM,River,UG/L,DISSOLVED,42,37,6,2 years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.,0,-Inf,No,5,No
