AUID_ATTNS,Name_AU,TADA.MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Constituent Group,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_B_1010204_006,Seaport Beach,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,62,62,4,Marine,,Bacteria,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,Seaport Beach,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER SUPPLY,AQUACULTURE,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,Seaport Beach,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,CONTACT RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_006,Seaport Beach,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,SECONDARY RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,ENTEROCOCCUS,MPN/100ML,,61,61,5,Marine,,Bacteria,WATER RECREATION,CONTACT RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,58,58,5,Marine,,Bacteria,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,58,58,5,Marine,,Bacteria,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,58,58,5,Marine,,Bacteria,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,58,58,5,Marine,,Bacteria,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,58,58,5,Marine,,Bacteria,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER SUPPLY,AQUACULTURE,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,CONTACT RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_007,Rotary Pool,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,SECONDARY RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,ENTEROCOCCUS,MPN/100ML,,52,51,4,Marine,,Bacteria,WATER RECREATION,CONTACT RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,50,50,4,Marine,,Bacteria,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,50,50,4,Marine,,Bacteria,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,50,50,4,Marine,,Bacteria,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,50,50,4,Marine,,Bacteria,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,50,50,4,Marine,,Bacteria,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER SUPPLY,AQUACULTURE,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,CONTACT RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010204_008,Rotary Park Beach,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,SECONDARY RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,ENTEROCOCCUS,MPN/100ML,,68,68,5,Marine,,Bacteria,WATER RECREATION,CONTACT RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,67,67,5,Marine,,Bacteria,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,67,67,5,Marine,,Bacteria,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,67,67,5,Marine,,Bacteria,WATER SUPPLY,AQUACULTURE,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,67,67,5,Marine,,Bacteria,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,FECAL COLIFORM,CFU/100ML,,67,67,5,Marine,,Bacteria,WATER SUPPLY,INDUSTRIAL,,2 water years,10,2,10,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER SUPPLY,AQUACULTURE,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,CONTACT RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
AK_B_1010205_001,Herring Cove,BEACH PROGRAM SITE-OCEAN,Beach,TURBIDITY,NTU,,26,26,2,Marine,,Turbidity,WATER RECREATION,SECONDARY RECREATION,,2 years,20 days,2,20,Yes,Yes,Yes,Hardness dependency not applicable.
